Carimbo de data/hora,Aceito em participar do estudo a seguir.,Escolaridade,Qual gênero você se identifica,Você já participou de alguma competição de programação?,Eu me interessaria em participar de competições de programação se eu tivesse a oportunidade de receber orientação e mentoria de professoras experientes.,"Eu me interessaria em participar de competições de programação se pudesse participar de grupos de treinamento focados no desempenho e aprendizado das mulheres participantes, independente da mentoria ser feita por mulheres ou 0.","Eu me interessaria em participar de competições de programação se eu tivesse contato com uma mulher competidora ou ex-competidora para relatar sua experiência, seja por palestras ou por conversas informais.","Eu me sinto menos encorajada, em parte, a participar de competições por ser um ambiente majoritariamente masculino e com pouca representatividade feminina.",Eu me interessaria mais a participar de competições de programação se existisse um grupo acadêmicos formado só por mulheres engajadas na área que eu pudesse fazer parte.,"Eu me sentiria mais motivada a participar de competições de programação sabendo da existência de vagas de final destinadas exclusivamente às mulheres, como ocorre na Maratona SBC de Programação (Vagas na Final Brasileira, regra 4)","Eu optaria participar de competições somente para mulheres a competições mistas 
(a exemplo do Torneio Feminino organizado pela OPI)",Sugestões ou comentários
29/09/2023 10:30:37,Aceito,Ensino Superior Incompleto,Feminino,0,2,3,2,4,3,3,4,
29/09/2023 10:33:11,Aceito,Ensino Superior Incompleto,Feminino,1,4,3,4,3,4,2,2,
29/09/2023 10:36:05,Aceito,Ensino Superior Completo,Feminino,0,4,5,5,5,5,4,5,
29/09/2023 10:36:36,Aceito,Ensino Superior Incompleto,Feminino,0,4,3,4,4,4,3,3,
29/09/2023 10:37:55,Aceito,Ensino Superior Completo,Feminino,0,1,3,5,2,4,3,3,
29/09/2023 10:38:25,Aceito,Ensino Superior Incompleto,Feminino,1,5,5,5,5,5,5,5,
29/09/2023 10:39:33,Aceito,Ensino Superior Completo,Masculino,1,,,,,,,,
29/09/2023 10:40:34,Aceito,Ensino Superior Completo,Feminino,1,5,3,3,5,4,5,5,
29/09/2023 10:47:02,Aceito,Ensino Superior Completo,Feminino,0,5,5,5,3,4,5,2,
29/09/2023 10:52:41,Aceito,Ensino Superior Completo,Feminino,1,5,5,4,4,5,3,2,
29/09/2023 11:01:14,Aceito,Ensino Superior Incompleto,Feminino,0,4,4,4,3,4,3,3,
29/09/2023 11:13:21,Aceito,Ensino Superior Completo,Feminino,0,4,5,5,5,5,3,3,
29/09/2023 11:19:23,Aceito,Ensino Superior Completo,Feminino,1,5,5,5,3,4,5,4,
29/09/2023 11:19:54,Aceito,Ensino Superior Completo,Feminino,1,5,5,5,5,4,5,4,
29/09/2023 11:21:05,Aceito,Ensino Superior Incompleto,Feminino,1,4,4,5,4,4,4,3,
29/09/2023 11:21:51,Aceito,Ensino Superior Incompleto,Masculino,0,,,,,,,,
29/09/2023 11:44:47,Aceito,Ensino Superior Incompleto,Feminino,0,5,2,4,5,4,3,4,
29/09/2023 11:49:14,Aceito,Ensino Superior Incompleto,Masculino,0,,,,,,,,
29/09/2023 11:55:48,Aceito,Ensino Superior Incompleto,Masculino,1,,,,,,,,
29/09/2023 12:33:30,Aceito,Ensino Superior Incompleto,Feminino,1,5,4,5,4,5,5,5,
29/09/2023 12:37:45,Aceito,Ensino Superior Incompleto,Feminino,1,5,5,5,5,5,5,5,
29/09/2023 12:57:29,Aceito,Ensino Superior Incompleto,Feminino,0,4,5,5,5,4,5,5,
29/09/2023 13:10:29,Aceito,Ensino Superior Incompleto,Feminino,0,5,3,3,4,5,5,5,
29/09/2023 13:20:40,Aceito,Ensino Superior Incompleto,Feminino,0,2,2,4,3,4,3,3,
29/09/2023 13:59:34,Aceito,Ensino Superior Incompleto,Feminino,0,4,4,5,5,5,3,3,
29/09/2023 15:10:34,Aceito,Ensino Superior Completo,Feminino,1,2,4,4,2,2,4,4,
29/09/2023 19:27:26,Aceito,Ensino Superior Completo,Feminino,0,2,3,4,4,3,4,2,
